arraySize,Milliseconds
10000,0.01728101074695587
20000,0.033414989709854126
30000,0.05051200091838837
40000,0.06662499904632568
50000,0.08890600502490997
60000,0.10012799501419067
70000,0.11611299216747284
80000,0.13283900916576385
90000,0.14888599514961243
100000,0.16445600986480713
110000,0.18125899136066437
120000,0.1994370073080063
130000,0.21567200124263763
140000,0.23243799805641174
150000,0.2510790079832077
160000,0.26652300357818604
170000,0.2856829911470413
180000,0.3023360073566437
190000,0.3204360008239746
200000,0.3394239991903305
